Egzersiz_Adi,Kategori,Ekipman,Aciklama
Butterfly Reverse,Shoulders,Vücut Ağırlığı,Açıklama Bulunamadı!
Crunches,Abs,Gym mat,"Yumuşak bir zemine sırt üstü uzanın, ayaklarınız yerde olsun. Ayaklarınızı sabit tutmak için bir partnerden veya başka bir yardımcıdan (halter vb.) yardım isteyin, elleriniz başınızın arkasında olsun. Bu pozisyondan, başınız veya dirsekleriniz dizlerinize değene kadar üst vücudunuzu yukarı kaldırın. Bu hareketi sırtınızı yuvarlayarak yapın."
Crunches With Legs Up,Abs,Vücut Ağırlığı,"Sırt üstü yatın, bacaklarınızı düz bir şekilde yukarı uzatın, ellerinizle ayak parmaklarınıza doğru uzanın ve kürek kemiklerinizi yerden kaldırıp geriye doğru itin."
Deficit Deadlift,Back,Barbell,"Hazırlık

Ağırlık plakası, tampon plaka veya ayaklarınızın üzerinde yüklü bar bulunan sığ yükseltilmiş bir platform üzerinde durun. Çömelin ve barı omuz genişliğinde veya biraz daha geniş bir şekilde üstten veya karışık tutuşla kavrayın.

Uygulama

Kalçalarınızı ve dizlerinizi tam olarak uzatarak barı kaldırın. Kaldırmanın en üst noktasında omuzlarınız yuvarlaksa geriye doğru çekin. Kalçalarınızı geriye doğru bükerek, dizlerinizin öne doğru bükülmesine izin vererek, sırtınızı düz ve dizlerinizi ayaklarınızla aynı yöne bakacak şekilde ağırlığı yere indirin. Tekrarlayın.

Yorumlar

Kaldırma boyunca kalçalarınızı alçakta, omuzlarınızı yüksekte, kollarınızı ve sırtınızı düz tutun. Hareket boyunca dizleriniz ayaklarınızla aynı yöne bakmalıdır. Mekanik kaldıraç etkisini artırmak için barı vücudunuza yakın tutun. Kavrama gücü ve dayanıklılık, ağır dirençlerde birden fazla tekrar yapma yeteneğini genellikle sınırlar. Kavrama gücünü artırmak için spor salonu tebeşiri, bilek kayışları, kavrama egzersizleri ve karışık tutuş kullanılabilir. Karışık tutuş, bir elin üstten, diğer elin alttan tutuşla tutmasını ifade eder. Ağırlık plakalarının daha kolay yüklenmesi ve boşaltılması için halter kaldırma aparatı kullanılabilir.

Barbell Deficit Deadlift, deadlift'in en alt kısmından güç kazanmaya odaklanır. Hedef kas izometrik olarak çalıştırılır. Ağır barbell deadlift, Latissimus Dorsi kasını önemli ölçüde çalıştırır. Gluteus Maximus başlığı altında Barbell Deficit Deadlift'e bakın. Ayrıca Deadlift Analizi'ne de bakın."
Flutter Kicks,Abs,Vücut Ağırlığı,"-Sırt üstü yatın, düzleştirilmiş bacaklarınızı yerden 45 derecelik bir açıyla kaldırın.

-Sol ayağınız aşağı doğru hareket edip yere neredeyse değene kadar, sağ ayağınız 90 derecelik bir açıya veya mümkün olduğunca yakın bir açıya ulaşmaya çalışmalıdır.

-Sağ ayağınızı yere neredeyse değene kadar indirin ve sol ayağınızı yukarı kaldırın. Egzersiz boyunca bacaklarınızın sertliğini koruyun. Başınız yerden yukarıda kalmalı ve sıkılaştırılmış üst karın kaslarınızla desteklenmelidir.

-(Sol yukarı, sağ aşağı, sol aşağı, sağ yukarı, x2) ^v, v^, ^v, v^ = 1 tekrar

-Öncelikle rektus abdominis kaslarını, kalça fleksörlerini ve bel kaslarını çalıştırır. İkinci olarak oblik kasları çalıştırır. Karın kaslarının alt kadranına vurgu yapılır."
Deadlifts,Back,Barbell,"Ayaklarınız omuz genişliğinden biraz daha açık olacak şekilde, sağlam bir şekilde durun. Barın hemen arkasında, barın kaval kemiğinize hafifçe değeceği yerde, ayaklarınız biraz dışa doğru bakacak şekilde durun. Sırtınız düz, dizleriniz de biraz dışa doğru bakacak şekilde eğilin. Barı omuz genişliğinde bir tutuşla, bir avuç içi yukarı, bir avuç içi ters tutuşla kavrayın.

Ağırlığı yukarı çekin. En yüksek noktada sırtınızı hafifçe çukurlaştırın ve barı geriye doğru çekin. Bu pozisyonda 1 veya 2 saniye bekleyin. Sırtınızın bükülmemesine dikkat ederek aşağı inin. Aşağı indikten sonra, ağırlığa bağlı olarak, ağırlıklar yere değdiği anda tekrar yukarı çıkabilir veya bir süre duraklayabilirsiniz."
Diagonal Shoulder Press,Shoulders,Bench,"Bench press aletinin başına oturuyorsunuz, sırtınız hafifçe arkaya doğru eğik. Bar yaklaşık 20 cm önünüzde olmalı. Sonra barı itip tekrar geri çekiyorsunuz, tıpkı bench press'te olduğu gibi.

Bu pozisyonda göğüs kaslarınızı çok daha az zorluyorsunuz, bu da antrenman yapmak istiyorsanız ama göğüs kaslarınız henüz iyileşmediyse güzel bir şey.

İşte bu egzersiz için özel olarak tasarlanmış bir makinede bir kızın fotoğrafı, yukarıdaki yetersiz açıklamamdan daha iyi bir tarif sunuyor:

http://www.schnell-online.de/db\_imgs/products/img/t-80400.jpg"
Dumbbell Goblet Squat,Legs,Dumbbell,"Dambılı üst plakaların yanlarından iki elinizle kavrayın. Dambılı göğsünüzün önünde, gövdenize yakın tutun. Ayaklarınızı omuz genişliğinde açın, dizlerinizi hafifçe bükün.

Uyluklarınız yere paralel olana kadar çömelin. Sırtınızı düz tutun, kalçalarınızı geriye doğru bükün ve hareket ettirin, böylece dizleriniz ayaklarınızın üzerinde kalsın. Dizlerinizi hafifçe bükük tutarak başlangıç ​​pozisyonuna dönün. Tekrarlayın.

Vücut ağırlığınızı topuklarınızda tutun ve sırtınızı düz tutmak için önünüze veya biraz yukarıya bakın."
Decline Bench Press Barbell,Chest,Barbell,"Eğimli bir sehpaya uzanın, bar tam gözlerinizin üzerinde olmalı, dizleriniz hafifçe açılı ve ayaklarınız yere sağlam basmalı. Konsantre olun, derin nefes alın ve barı omuz genişliğinden daha fazla kavrayın. Barı yavaşça aşağı indirin, göğüs uçlarınızın hizasında kısa bir süre göğsünüze değene kadar. Barı yukarı doğru itin."
Decline Bench Press Dumbbell,Chest,Dumbbell,"İki dambıl alın ve eğimli bir sehpaya oturun, ayaklarınız yere sağlam basmalı, başınız sehpaya yaslanmalı. Ağırlıkları göğsünüzün yanına, meme uçlarınızın hizasına getirin ve kollarınız gerilene kadar yukarı doğru itin. Ağırlıkları yavaş ve kontrollü bir şekilde indirin."
Dumbbell Lunges Standing,Legs,Dumbbell,.
Decline Pushups,Chest,none (bodyweight exercise),"Ayaklarınızı bir platformun üzerine yaklaşık 30 cm yukarı kaldırarak, omuzlarınızı, dirseklerinizi ve ellerinizi hizalayın ve ardından normal şınav çekin. Bu hareket, pektoralis majör kasının klaviküler liflerini vurgular."
Fly With Cable,Chest,Vücut Ağırlığı,Açıklama Bulunamadı!
Dumbbell Lunges Walking,Legs,Dumbbell,"Ellerinize iki dambıl alın, dik durun, ayaklarınızı omuz genişliğinde açın. Ön diziniz yaklaşık olarak dik açı oluşturacak şekilde uzun bir adım atın. Arka bacağınız gergin, diziniz yere değmiyor ama aşağıda olmalı. Ayağa kalkarak adımı ""tamamlayın"" ve hareketi diğer bacağınızla tekrarlayın."
"Fly With Dumbbells, Decline Bench",Chest,Dumbbell,"Egzersiz, normal bir sehpada yapılanla aynıdır:

İki dambıl alın ve sehpaya uzanın, ayaklarınızın yere sağlam basmasına ve sırtınızın kamburlaşmamasına, ancak sehpaya iyi temas etmesine dikkat edin. Kollarınızı omuz genişliğinde önünüze doğru uzatın. Şimdi kollarınızı biraz bükün ve yarım daire şeklinde yana doğru indirin. Dirsek açısını değiştirmeden, akıcı bir hareketle tekrar yukarı kaldırın."
Fly With Dumbbells,Chest,Dumbbell,"İki dambıl alın ve bir banka uzanın, ayaklarınızın yere sağlam basmasına ve sırtınızın kamburlaşmamasına, ancak banka iyi temas etmesine dikkat edin. Kollarınızı omuz genişliğinde önünüze doğru uzatın. Şimdi kollarınızı biraz bükün ve yana doğru yarım daire şeklinde bir hareketle indirin. Dirsek açısını değiştirmeden, akıcı bir hareketle tekrar yukarı kaldırın."
Dumbbell Incline Curl,Arms,Dumbbell,"- **Hazırlık:** Ayarlanabilir bir sehpayı yaklaşık **45 ila 60 derece** eğime ayarlayın.

- **Başlangıç ​​Pozisyonu:** Her iki elinize birer dambıl alarak sehpaya yaslanın. Avuç içleriniz öne bakacak şekilde kollarınızı yere doğru düz bir şekilde sarkıtın (supine tutuş).

- **Kıvırma:** Üst kollarınızı sabit tutarak ve omuzlarınızı sehpaya yaslayarak, nefes verin ve ağırlıkları omuzlarınıza doğru yukarı doğru kıvırın.

- **En Yüksek Kasılma:** Hareketin en üst noktasında pazı kaslarınızı iyice sıkın, dirseklerinizin öne doğru sallanmadığından emin olun.

- **İniş:** Nefes alın ve dambılları yavaşça başlangıç ​​pozisyonuna indirin, tam kontrolü koruyun ve pazı kaslarınızdaki gerilmeyi hissedin."
Dumbbell Triceps Extension,Arms,Dumbbell,"Bir dambılı, her iki elinizle iç plakanın altından (kalp şeklinde kavrama) tutarak başınızın üzerine yerleştirin.

Dirsekleriniz başınızın üzerinde olacak şekilde, dirseklerinizi bükerek ön kolunuzu üst kolunuzun arkasına indirin. Dambılın boynunuzun arkasına çarpmasını önlemek için en alt noktada bileklerinizi bükün. Dirseklerinizi uzatarak ve bileklerinizi aşırı gererek dambılı başınızın üzerine kaldırın. Başlayın ve tekrarlayın."
Dips,Chest,none (bodyweight exercise),"Dips, üst vücut kuvveti egzersizidir. Dar, omuz genişliğindeki dips öncelikle triseps kaslarını çalıştırır; başlıca yardımcı kaslar ise ön deltoid, pektoral kaslar (sternal, klaviküler ve minör) ve sırtın romboid kaslarıdır (bu sırayla).[1] Geniş kollu antrenman, geniş tutuşlu bench press'in pektoral kaslara daha fazla, triseps kaslarına ise daha az odaklanmasına benzer şekilde, pektoral kaslara ek vurgu yapar."
Dips Between Two Benches,Arms,Bench,"İki bankı, birine ellerinizle tutunabileceğiniz ve diğerine ayaklarınızla ulaşabileceğiniz kadar uzak mesafeye koyun. Egzersiz boyunca bacaklarınız tamamen gergin kalmalıdır. Dirsekleriniz geriye dönük olacak şekilde, onları olabildiğince bükün. Kendinizi yukarı doğru itin, ancak kollarınızı uzatmayın."
Front Raises with Plates,Shoulders,Vücut Ağırlığı,Açıklama Bulunamadı!
Hanging Leg Raises,Abs,Pull-up bar,"Bir bara veya kayışa asılı halde, dizleriniz düz veya bükülü olacak şekilde bacaklarınızı yukarı kaldırın."
Front Raises,Shoulders,"Barbell, Dumbbell","Bu egzersizi yapmak için, sporcu ayaklarını omuz genişliğinde açarak durur ve ağırlıkları veya direnç kollarını yanlarında, avuç içi yukarı bakacak şekilde (pronasyonlu) tutar.

Hareket, kolları vücudun önünde, göz hizasına kadar ve dirsekte sadece hafif bir bükülme ile kaldırmaktır. Bu, ön deltoid kasını (omuzun ön kısmı) izole eder ve ağırlığı kaldırmak için ön deltoid kasını kullanır.

Kaldırırken, ön deltoid kasının tamamen kullanılabilmesi için vücudu sabit tutmak önemlidir; eğer ağırlık sabit durarak kaldırılamıyorsa, çok ağırdır ve daha düşük bir ağırlık gereklidir. Kaldırma sırasında dirsekte hafif bir bükülme olması önemlidir, çünkü dirseği kilitli tutmak dirsek eklemine stres ekleyebilir ve yaralanmaya neden olabilir.

Çekiç kıvırma hareketinde kullanılanlara benzer nötr bir tutuş da kullanılabilir. Bu varyasyonda ağırlık yine göz hizasına kaldırılır, ancak vücudun önünden 45 derecelik bir açıyla. Bu, özellikle rotator manşet ile ilgili omuz yaralanmaları olanlar için faydalı olabilir."
Hindu Squats,Legs,Vücut Ağırlığı,"Ayaklarınızı omuz genişliğinde açarak ve kollarınızı hafifçe sırtınızın arkasına koyarak başlayın.

Yere doğru inerken, sırtınızı olabildiğince dik tutarak topuklarınızı yerden kaldırın.

En alt pozisyona ulaştığınızda, ellerinizi topuklarınıza değdirin.

Ardından, topuklarınız yerde, kollarınız göğsünüzün önünde uzatılmış halde ayağa kalkın ve kürek çekerek başlangıç ​​pozisyonuna geri dönün."
Front Squats,Legs,Barbell,"Bu çömelme varyasyonu, hamstring kaslarını ve gluteus maximus kasını çalıştırır. Ayrıca sırt ekstansör ve abdüktör kaslarını da çalıştırır."
Hammercurls on Cable,Arms,Vücut Ağırlığı,"Ellerinize bir kablo alın (avuç içleriniz paralel ve birbirine dönük olsun), vücudunuz düz olsun. Kollarınızı bükün ve ağırlığı hızlı bir hareketle yukarı kaldırın. Hiç duraksamadan, yavaş ve kontrollü bir hareketle aşağı indirin, ancak kollarınızı tamamen germeyin.

Egzersiz sırasında vücudunuzu sallamayın, tüm işi pazı kaslarınız yapmalıdır. Dirsekleriniz yanlarınızda olmalı ve hareket etmemelidir."
Hammer Curls,Arms,Dumbbell,"- **Başlangıç:** Avuç içleriniz gövdenize dönük olacak şekilde dambılları yanlarınızda tutun.

- **Kıvırma:** Ağırlıkları nötr tutuşu koruyarak (çekiç tutar gibi) omuzlarınıza doğru kaldırın.

- **Sıkma:** Dirseklerinizi öne doğru hareket ettirmeden, en üst noktada pazı kaslarınızı kasın.

- **İndirme:** Tamamen kontrollü bir şekilde yavaşça başlangıç ​​pozisyonuna dönün."
Skullcrusher Dumbbells,Arms,"Bench, Dumbbell","Dambılları tutun ve başınızın yaklaşık 1/4'ü kenardan sarkacak şekilde düz bir sehpaya uzanın. Kollarınızı düz yukarı doğru uzatın ve ardından dambılları ayak parmaklarınızdan 10-20 derecelik bir açıyla uzağa doğru eğin. Egzersiz boyunca üst kolunuzu bu açıda tutun. Dambıl başınızın hizasında değil, başınızın biraz yukarısında olmalıdır. Bu, triseps kaslarına sürekli yük bindirerek egzersizden maksimum verim almanızı sağlayacaktır.

Dirseklerinize ve kollarınıza dikkat edin: Sadece triseps kasları çalışıyor, kollarınızın geri kalanı hareket etmemelidir."
Skullcrusher SZ-bar,Arms,"Bench, SZ-Bar","SZ barı tutun ve başınızın yaklaşık 1/4'ü kenardan sarkacak şekilde düz bir sehpaya uzanın. Kollarınızı barla birlikte uzatın ve barı aşağı indirecek şekilde bükün. Alnınıza değmeden hemen önce yukarı doğru itin.

Dirseklerinize ve kollarınıza dikkat edin: sadece triseps kasları çalışıyor, kollarınızın geri kalanı hareket etmemeli."
Front Pull narrow,Back,"Barbell, SZ-Bar",Açıklama Bulunamadı!
Front pull wide,Back,"Barbell, SZ-Bar",Açıklama Bulunamadı!
Handstand Pushup,Shoulders,none (bodyweight exercise),"El üstü şınav (pres-up) - dikey şınav (pres-up) veya ters şınav (pres-up) olarak da adlandırılan ve komando şınavı olarak da bilinen - vücudun el üstü pozisyonda olduğu bir şınav egzersizi türüdür. Gerçek bir el üstü duruş için egzersiz, havada tutularak, serbest bir şekilde yapılır. Yeterli denge sağlanana kadar güç kazanmak için ayaklar genellikle duvara yaslanır, bir partner tarafından tutulur veya düşmeyi önlemek için başka bir şekilde sabitlenir. El üstü şınav, serbest bir şekilde yapıldığında önemli bir güç, denge ve kontrol gerektirir."
Leg Curls (laying),Legs,Vücut Ağırlığı,"Bir banka uzanın ve baldırlarınızı bacak tutucunun arkasına yerleştirin (alt baldırlarınızdan tutmanız daha iyi olur). Vücudunuzun sağlam bir şekilde yerinde olduğundan emin olmak için barlardan tutun. Bacaklarınızı bükerek ağırlığı yukarı kaldırın, yavaşça geri indirin. Egzersiz sırasında vücut hareket etmemeli, tüm iş bacaklar tarafından yapılmalıdır."
Lat Pull Down (Leaning Back),Back,Vücut Ağırlığı,"Geriye yaslanın, göğsünüze doğru çekin."
Lat Pull Down (Straight Back),Back,Vücut Ağırlığı,Barı kas gücünüze kadar aşağı çekin ve sırtınızı düz tutun.
Leg Curls (sitting),Legs,Vücut Ağırlığı,Açıklama Bulunamadı!
"Lateral Rows on Cable, One Armed",Shoulders,Vücut Ağırlığı,"Kabloyu bel hizasına ayarlayın, kolunuzu karnınızın üzerinden geçirerek başlayın ve birer birer kollarınızı diğer tarafa doğru hareket ettirin."
Lateral Raises,Shoulders,Dumbbell,"Bu egzersiz omuzun deltoid kasını çalıştırır. Hareket, kollar düz ve eller vücudun yanlarında veya önünde ağırlıklar tutarak başlar. Vücut, kalçalar ve dizler biraz bükülmüş şekilde hafifçe öne eğik bir pozisyondadır. Kollar düz veya hafifçe bükülmüş halde tutulur ve koronal düzlemde, eller yaklaşık omuz hizasında olana kadar bir hareket yayı boyunca kaldırılır. Ağırlıklar başlangıç ​​pozisyonuna indirilir ve bir tekrar tamamlanır. Kablo makinesi kullanıldığında, kişi koronal düzlemi, yerde veya yere yakın olan makara ile aynı hizada olacak şekilde durur.[9] Egzersiz, bir omuz bir seferde (diğer el, hareket eden ağırlığa karşı vücudu dengelemek için kullanılır) veya iki paralel makara mevcutsa her iki elle aynı anda tamamlanabilir."
Leg Curl,Legs,Vücut Ağırlığı,"Bacak kıvırma hareketi, diğer adıyla hamstring kıvırma, hamstring kaslarını hedefleyen izole bir egzersizdir. Bu egzersiz, alt bacağın direnç karşısında kalçalara doğru bükülmesini içerir. Hamstring kaslarını güçlendirmek için kullanılabilecek diğer egzersizler arasında glute-ham raise ve deadlift bulunur."
Lateral-to-Front Raises,Shoulders,Dumbbell,"-(1) Yan kaldırma hareketi yapın, kaldırmanın en üst noktasında duraklayın (2).

-Ağırlığı indirmek yerine, ön kaldırma hareketinin en üst pozisyonundaymış gibi görünmek için ağırlığı vücudunuzun önüne getirin. Bunu, kollarınızı düz tutarak bir Göğüs Kaslarını Çalıştırma hareketi kullanarak yapacaksınız. (3)

-Şimdi ağırlığı uyluk kaslarınıza indirin veya başka bir deyişle, bir Ön Kaldırma tekrarı yapıyormuş gibi dambılları indirin. (4)

-Hareketi tersine çevirin: Bir ön kaldırma hareketi yapın (5), kaldırmanın en üst noktasında ağırlıkları bir Yan Kaldırma hareketinin en üst noktasına yerleştirmek için bir Ters Çalıştırma hareketi kullanın (6) ve son olarak, avuç içleriniz uyluklarınızın yanlarına değene kadar ağırlıkları indirin (7). BU BİR TEKRARDIR.

(1) l  *ön görünüm* (2) -l-  *FV*  (3) l-  *yan görünüm*   (4) l  *SV/FV*   (5) l-  *SV* (6) -l-  *FV*  (7)  l  *FV/SV*"
Incline Push up,Chest,Vücut Ağırlığı,30 derecelik eğimle düzenli itme hareketi.
Squats on Multipress,Legs,Vücut Ağırlığı,Açıklama Bulunamadı!
Incline Dumbbell Fly,Chest,"Dumbbell, Incline bench",Eğimli sehpa kullanın. Dambılları dirsekleriniz hafifçe bükülü olarak yanlara doğru düz tutun. Dirseklerinizin açısını sabit tutarak kollarınızı yukarıda birleştirin.
Incline Plank With Alternate Floor Touch,Abs,Vücut Ağırlığı,"Bacaklarınız yukarıda, ayaklarınız bir egzersiz topunun üzerinde olacak şekilde plank pozisyonunu alın. Dengeyi sağladıktan sonra, bir ayağınızı yavaşça topun üzerinden yana doğru hareket ettirin, ardından yere değdirin ve başlangıç ​​pozisyonuna geri dönün. Diğer ayakla da aynı hareketi tekrarlayın.

Bu bir karın kası egzersizidir."
Kettlebell Swings,Legs,Kettlebell,"Kettlebell'i iki elinizle sıkıca tutun. Hareket boyunca sırtınızı düz tutun, omurganızın yuvarlaklaşmasından kaçının. Dizlerinizi ""yumuşak"" tutarak, kalçalarınızı geriye doğru bükün ve kettlebell'in dizlerinizin arasında sallanmasına izin verin.

Kalçalarınızdan olabildiğince geriye doğru bükülün (*sırtınızın öne doğru yuvarlaklaşmasına izin vermeden*). Ardından, kalçalarınızı hızla öne doğru itin ve dik bir duruşta vücudunuzu kilitleyin.

Bunu yapma hızınız, kollarınızın ve kettlebell'in önünüzde yukarı doğru sallanmasına neden olacaktır. Kettlebell'i kollarınızla *kaldırmaya* çalışmayın. Kalçalarınızın öne doğru itilmesi, kettlebell'in momentum yoluyla öne doğru sallanmasına neden olacaktır. Kettlebell'in ağırlığına ve kalça hareketinizin hızına bağlı olarak, kollarınız yaklaşık omuz hizasına kadar sallanacaktır. Bu sallanmanın en üst noktasında, kettlebell bacaklarınızın arasına ve bir sonraki tekrarın başlangıcına doğru sallanırken kalçalarınızı tekrar geriye doğru bükün."
Leverage Machine Iso Row,Back,Vücut Ağırlığı,"Koltuk yüksekliğini, tutma yerleri göğüs kaslarınızın alt kısmında veya biraz altında olacak şekilde ayarlayın."
Negative Crunches,Abs,Vücut Ağırlığı,"Eğimli sehpaya oturun ve bacaklarınızı sabitleyin. Kollarınızı göğsünüzün üzerinde çaprazlayın ve yuvarlanma hareketiyle üst vücudunuzu yukarı kaldırın, şimdi duraksamadan ve yavaş bir hareketle tekrar aşağı indirin. Egzersiz sırasında başınızın hareket etmesine izin vermeyin."
Military Press mit SZ-Bar,Shoulders,SZ-Bar,"SZ bar'da, her kıvrımın dış tarafına ellerinizi yerleştirin ve kollarınızı düz aşağı doğru, avuç içleriniz bacaklarınıza dönük şekilde tutun. Barı (dirseklerinizi bükerek) göğsünüze doğru çekin ve ardından barı başınızın üzerine doğru itin (kollarınız olabildiğince düz). Barı dirseklerinizi aşağı indirerek göğsünüze geri indirin. Barı orijinal pozisyonuna geri getirin (kollarınız düz aşağı doğru, avuç içleriniz bacaklarınıza dönük şekilde durun)."
Diamond push ups,Chest,none (bodyweight exercise),"Başlangıç: Plank pozisyonuna geçin. Başparmaklarınız ve işaret parmaklarınız elmas şeklini oluşturacak şekilde ellerinizi göğsünüzün altına yakın bir şekilde yerleştirin.

İndirme: Dirseklerinizi bükerek göğsünüzü ellerinize doğru indirin. Vücudunuzu düz tutun.

İtme: Kollarınız tamamen uzayana kadar yukarı doğru itin.

Yeni not: Dirseklerinizi vücudunuza yakın tutun ve karın kaslarınızı sıkılaştırın."
"Leg Raises, Standing",Abs,Vücut Ağırlığı,"Ön kollarınızı bacak kaldırma makinesinin pedlerine yerleştirin, vücudunuz serbestçe sallansın. Şimdi bacaklarınızı hızlı bir hareketle olabildiğince yukarı kaldırın, en üst noktada 1 saniyelik kısa bir duraklama yapın ve tekrar aşağı indirin. Egzersiz sırasında vücudunuzun sallanmamasına, sadece bacaklarınızın hareket etmesine dikkat edin."
Leverage Machine Chest Press,Chest,Vücut Ağırlığı,"Koltuk yüksekliğini, tutma yerleri göğüs kaslarınızın alt kısmına doğru gelecek şekilde ayarladığınızdan emin olun."
"Leg Raises, Lying",Abs,Gym mat,Bir banka uzanın ve dengenizi sağlamak için ellerinizle koltuğa tutunun. Bacaklarınızı düz tutun ve yaklaşık 45°'lik bir açı oluşturana kadar kaldırın. 1 saniyelik kısa bir duraklama yapın ve yavaşça başlangıç ​​pozisyonuna inin. Yoğunluğu artırmak için her 5. seferde 7 saniyelik daha uzun bir duraklama yapabilirsiniz.
Leg Raise,Legs,Vücut Ağırlığı,"Bacak kaldırma, iliopsoas kasını (ön kalça bükücü kasları) hedefleyen bir kuvvet antrenmanı egzersizidir. Hareket sırasında vücudu stabilize etmek için karın kasları izometrik olarak kullanıldığından, bacak kaldırma egzersizleri genellikle rektus abdominis kasını ve iç ve dış oblik kaslarını güçlendirmek için de kullanılır."
Low Box Squat - Wide Stance,Legs,Barbell,"Barı sehpadan kaldırın ve kalçalarınızın ötesine, geniş bir duruş pozisyonu alın. Kalçalarınızı geriye doğru itin ve paralel seviyenin altına inen bir kutuya oturun. Tamamen oturun, dokunup kalkmayın. Ardından patlayıcı bir şekilde ayağa kalkın. Hareket boyunca üst sırtınızı ve gövdenizi sıkı tutun."
Leg Curls (standing),Legs,Vücut Ağırlığı,Açıklama Bulunamadı!
Leg Press on Hackenschmidt Machine,Legs,Vücut Ağırlığı,Açıklama Bulunamadı!
Leg Presses (narrow),Legs,Vücut Ağırlığı,"Bu egzersiz, geniş bacak presine çok benzer:

Makineye oturun ve ayaklarınızı aralarına bir ayak daha koyabileceğiniz kadar geniş aralıklarla platforma yerleştirin. Ayaklar paralel ve yukarı doğru bakmalıdır.

Ağırlığı, dizleriniz dik açı oluşturacak şekilde indirin. Hemen, hiç duraksamadan platformu tekrar yukarı itin. En alt pozisyondayken dizler biraz dışa doğru bakmalı ve hareket her zaman akıcı olmalıdır."
Leg Presses (wide),Legs,Vücut Ağırlığı,"Makineye oturun ve ayaklarınızı omuz genişliğinden biraz daha geniş bir şekilde platforma koyun. Ayaklar birkaç derece dışa dönük olmalıdır.

Ağırlığı, dizleriniz dik açı oluşturacak kadar aşağı indirin. Hemen, hiç duraksamadan platformu tekrar yukarı itin. En alt pozisyondayken dizler biraz dışa dönük olmalı ve hareket her zaman akıcı olmalıdır."
Leg Press,Legs,Vücut Ağırlığı,"Bacak presi, kişinin bacaklarını kullanarak bir ağırlığı veya direnci kendisinden uzağa doğru ittiği bir ağırlık antrenmanı egzersizidir."
Pendelay Rows,Back,Barbell,"Sırt egzersizi, başlangıç ​​pozisyonunda sırt yere paralel olacak şekilde öne eğilmiş bir pozisyonda, barbel ile yapılır. Barbel göğüs hizasında yerde durmalıdır. Hareket için, barbeli omuz genişliğinde kavrayın ve öne eğilmiş pozisyonu bozmadan ve sadece kollarınızı hareket ettirerek göğsünüze doğru çekin."
Rack Deadlift,Back,Vücut Ağırlığı,"Deadlift, Smith makinesi veya serbest raf kullanılarak yapılmalıdır. Bar veya halter, diz kapağı seviyesinin hemen altında olmalıdır. Kalça kaslarını ve topukları kullanarak kaldırın, ardından 2 saniyelik kontrollü bir hareketle başlangıç ​​pozisyonuna geri dönün.

Bu egzersiz esas olarak bel ve kalça kaslarını hedef alır."
Push Press,Shoulders,Vücut Ağırlığı,Dambılları avuç içleriniz birbirine bakacak şekilde omuzlarınıza kaldırın. Nefes alın ve karın kaslarınızı sıkın. (Resim 1) Dizlerinizi bükün ve bacaklarınızı kullanarak (Resim 2) dambılları başınızın üzerine kaldırın. Yavaş bir tempoyla kontrollü bir şekilde omuzlarınıza indirin ve tekrarlayın.
Pause Bench,Chest,"Barbell, Bench","Barı göğsünüze indirin ve orada 2 saniye bekleyin (ancak dinlenmeyin). Tekrar yukarı doğru itin. Bench press'te kullandığınız ağırlığı kullanın, ancak sadece tek tekrarlar yapın. Bir set bench press'te yaptığınız tekrar sayısını toplayın (eğer 8'er tekrardan oluşan 3 set yaptıysanız, 8 tek duraklamalı bench press tekrarı yapın)."
Preacher Curls,Arms,SZ-Bar,"EZ curl barı, preacher bench'in önündeki destek kollarına yerleştirin. Bankın üzerine eğilin ve avuç içleriniz yukarı bakacak şekilde EZ curl barı kavrayın. Preacher bench'in oturma yerine oturun, böylece üst kollarınız minderin üzerinde, göğsünüz ise mindere yaslanmış olsun. Dirsekleriniz düz ve kollarınız gergin olana kadar ağırlığı indirin. Pazı kaslarınızı kasarak ağırlığı başlangıç ​​noktasına geri getirin. Tekrarlayın."
Rear Delt Raises,Shoulders,Dumbbell,"Yere dambılları koyarak bir banka oturun, 45 derece öne eğilin ve ardından her bir dambılı yavaşça omuz hizasına kadar kaldırın ve birkaç saniye bu pozisyonda bekledikten sonra başlangıç ​​pozisyonuna indirin."
Pistol Squat,Legs,Vücut Ağırlığı,"1. Ayaklarınızı kalça genişliğinde açarak, parmak uçlarınız öne doğru bakacak şekilde ve göğsünüz dik durun.

2. Bacağınızı düz bir şekilde uzatın; her iki kolunuzu da omuz hizasında önünüze doğru uzatın. Karın kaslarınızı sıkın ve dümdüz ileriye bakın.

3. Yavaşça çömelin.

4. (İsteğe bağlı) En alt noktada kısa bir süre bekleyin.

Tüm süre boyunca (serbest) bacağınızı ve kollarınızı uzatılmış halde tutun."
Pull Ups on Machine,Back,Vücut Ağırlığı,Açıklama Bulunamadı!
Pull-ups,Back,Pull-up bar,"Barfiks çubuğunu geniş bir kavrama ile tutun, vücudunuz serbestçe sarkacak şekilde. Göğsünüzü dışarıda tutarak, çeneniz bara değene kadar veya isterseniz boynunuza değene kadar kendinizi yukarı çekin. Yavaş ve kontrollü bir hareketle aşağı inin, her zaman göğsünüzü dışarıda tutun."
